,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio,p_value,q_value,significant
ENSMUSG000000000015_Gnai3,-942.4456560861444,-305.9993266748497,-312.99233711981617,323.45399229147847,0.0,0.0,True
ENSMUSG0000000002816_Cdc45,-398.4068855333594,-204.4644005665023,-195.3888346623621,-1.4463496955049777,0.22911457906019173,0.22911457906019173,False
ENSMUSG0000000004912_Apoh,-1174.0950643108024,-432.5895239439783,-430.495641161508,311.00989920531606,0.0,0.0,True
ENSMUSG000000000568_Narf,-645.4223027319836,-328.96140262674646,-322.6342084841719,-6.173308378934735,0.012969185454321686,0.02593837090864337,True
ENSMUSG000000000587_Cav2,-428.2372857056098,-213.57895817618027,-211.09245148316626,3.56587604626327,0.0589786122945295,0.07372326536816187,False
ENSMUSG000000000788_Klf6,-561.6084547745326,-264.1713989363645,-293.4347398980172,4.002315940150879,0.04543778919684971,0.06491112742407101,False
ENSMUSG0000000008517_Scmh1,-465.6715297319571,-225.66330612808264,-242.19834756182053,-2.1901239579460707,0.13889813684102625,0.15433126315669585,False
ENSMUSG000000000888_Cox5a,-642.0452200694676,-332.59208723556793,-474.5325147597522,-165.07938192585243,0.0,0.0,True
ENSMUSG000000000937_Tbx2,-461.70508265653814,-229.13464961280846,-237.04888652982672,-4.47845348609701,0.034324767394353306,0.05720794565725551,False
ENSMUSG000000001207_Ngfr,-507.5240544206604,-251.0689650429447,-234.13296650726056,22.322122870455132,2.3053539560669023e-06,5.763384890167256e-06,True
