;CT8CTLF1;CT8CTLF2;CT12CTLF1;CT12CTLF2;CT16CTLF1;CT16CTLF2;CT20CTLF1;CT20CTLF2;CT24CTLF1;CT24CTLF2;CT28CTLF1;CT28CTLF2;CT32CTLF1;CT32CTLF2;CT36CTLF1;CT36CTLF2;CT40CTLF1;CT40CTLF2;CT44CTLF1;CT44CTLF2;CT8fastingF1;CT8fastingF2;CT12fastingF1;CT12fastingF2;CT16fastingF1;CT16fastingF2;CT20fastingF1;CT20fastingF2;CT24fastingF1;CT24fastingF2;CT28fastingF1;CT28fastingF2;CT32fastingF1;CT32fastingF2;CT36fastingF1;CT36fastingF2;CT40fastingF1;CT40fastingF2;CT44fastingF1;CT44fastingF2
ENSMUSG00000000001.5_Gnai3;5877;4756;5978;5601;5581;5559;6452;5815;5965;5859;6059;6395;5146;5883;6433;5764;5760;6095;5426;5159;5600;5526;5353;5604;4938;4845;3860;4213;4606;4530;4172;4249;4300;4263;5177;4910;4257;5127;3870;4439
ENSMUSG00000000028.16_Cdc45;66;394;108;52;63;34;71;29;54;47;61;61;46;45;104;88;28;38;67;46;37;67;70;90;97;160;61;61;80;84;42;60;63;44;77;38;45;120;56;81
ENSMUSG00000000049.12_Apoh;97516;71677;87405;90860;99574;91143;98225;101719;92594;101731;95198;106505;105724;99112;91726;97363;99634;96062;102056;106598;106018;99611;99032;106236;116314;111379;102560;98949;93368;115393;106778;100657;98776;108944;116786;101002;94693;113563;101844;110693
ENSMUSG00000000056.8_Narf;3996;3597;3251;2691;2194;1910;2425;2099;1829;2416;2392;2421;4705;4375;2923;3051;2113;2345;1910;2200;3952;4442;3070;3668;1892;1593;1296;1428;1412;1832;1932;1490;3191;3366;2303;2980;1410;2229;1615;1327
ENSMUSG00000000058.7_Cav2;348;263;366;309;311;380;301;341;265;331;298;246;272;246;297;362;288;359;321;333;286;367;308;274;276;367;293;230;279;268;276;276;236;211;214;208;208;234;181;278
ENSMUSG00000000078.8_Klf6;544;839;554;601;546;670;606;680;737;689;762;939;862;744;723;570;765;601;578;686;1022;825;560;920;702;1278;1219;968;1293;634;675;671;644;721;770;843;2559;686;842;1203
ENSMUSG00000000085.17_Scmh1;642;565;573;650;646;675;610;597;689;626;673;697;775;616;667;590;529;531;694;621;738;727;681;604;710;641;588;580;564;586;600;605;780;673;479;710;914;535;781;611
ENSMUSG00000000088.8_Cox5a;6116;4638;6630;6893;7148;7284;7125;6693;6109;5604;5987;6123;5606;6506;6867;6533;7307;7816;6734;6713;5884;6329;6892;6872;6931;6683;6035;5890;5349;6115;6815;5800;6735;6820;7025;7249;6516;7377;7258;7132
ENSMUSG00000000093.7_Tbx2;452;388;419;475;344;325;279;353;427;333;332;367;383;377;468;411;294;248;418;331;404;483;477;448;330;359;481;388;432;361;413;461;453;451;368;440;515;249;526;265
ENSMUSG00000000120.7_Ngfr;320;166;333;205;199;224;587;476;559;621;718;663;415;440;230;173;231;276;436;489;421;424;185;239;91;142;136;128;198;147;268;325;167;117;97;305;118;95;98;107
ENSMUSG00000000127.16_Fer;593;518;594;523;441;501;473;526;546;557;534;532;675;628;520;598;499;470;487;547;604;704;615;514;385;347;305;297;368;451;407;440;474;539;383;490;379;326;389;361
ENSMUSG00000000131.16_Xpo6;3531;3542;2909;2791;2538;2676;2437;2687;3004;3057;3292;2684;3279;3298;2619;2476;2450;2608;3060;3004;2808;3180;2822;2519;2964;3084;3382;3453;3332;3475;3817;3745;3494;3499;3223;3131;5533;3549;4321;3317
ENSMUSG00000000134.18_Tfe3;1855;1764;1679;1434;1774;1619;2042;1839;1866;2044;1736;2066;1658;1690;1602;1799;1809;1698;2042;1922;1903;1650;1432;1621;1936;1917;2182;2396;2477;1837;1746;1884;1704;1675;2035;1808;2006;2227;2109;2597
ENSMUSG00000000142.16_Axin2;905;1028;441;542;643;418;478;819;904;1039;745;501;1126;672;406;582;587;554;1058;879;399;477;574;164;492;505;697;888;428;996;739;704;401;451;340;509;323;398;223;688
ENSMUSG00000000148.18_Brat1;624;836;767;759;740;768;751;876;840;992;935;863;757;826;673;670;704;818;924;776;862;673;782;734;469;476;741;767;872;812;904;908;776;669;816;743;952;843;702;717
ENSMUSG00000000149.11_Gna12;8412;6610;5496;5602;5850;5415;4263;5998;5161;6240;6351;4781;10088;7282;6675;6823;6455;6108;7577;6094;7977;7921;6521;6013;6985;6845;8440;8548;7920;8414;10489;10510;11040;10330;8845;9018;12902;10799;10086;7414
ENSMUSG00000000154.17_Slc22a18;4031;2657;4646;4105;4064;4639;5021;4416;4012;4293;5066;6317;5015;5094;4615;3758;4489;5242;4473;5608;5588;4621;4569;6470;3697;3676;2421;2612;2755;4349;3682;3521;3368;4076;3806;3777;2548;7538;2699;4328
ENSMUSG00000000159.17_Igsf5;1396;1060;1222;1140;1251;1100;1092;1052;1180;1194;1203;1179;1326;1226;1475;1480;1143;1223;1374;1392;1368;1383;1291;1085;1382;1434;1468;1510;1293;1629;1454;1296;1478;1536;1316;1253;483;1453;740;1353
ENSMUSG00000000168.11_Dlat;4851;2571;5594;3931;2778;4017;2923;3128;3981;3025;4185;3848;3785;4128;4141;3167;3559;3803;3144;3559;3496;3850;3835;3220;3229;3525;3289;3294;3552;3117;3725;3063;3401;3447;3258;3600;4125;3019;3686;3859
ENSMUSG00000000171.6_Sdhd;10386;7507;11004;11036;10099;11177;11475;10284;9539;9437;9551;10080;9633;10051;11276;10260;10263;11499;9623;9047;10443;9310;10552;10947;9792;9182;9223;8967;9850;10348;11958;11742;12338;12996;12761;14969;11172;11907;12979;11910
