Unnamed: 0,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio,p_value,q_value,significant,RBF Value,Peridodicity Value,Combined Value,Ratio RBF:Periodicity
ENSMUSG000000000015_Gnai3,-942.446,-305.999,-312.992,323.454,0.0,0.0,True,0.1,1.0,1.1,0.05
ENSMUSG0000000002816_Cdc45,-398.407,-204.464,-195.389,-1.446,0.229,0.229,False,1721824.333,0.0,1721824.333,1.0
ENSMUSG0000000004912_Apoh,-1174.095,-432.59,-430.496,311.01,0.0,0.0,True,1115.623,1835.386,2951.009,0.378
ENSMUSG000000000568_Narf,-645.422,-328.961,-322.634,-6.173,0.013,0.026,True,26803596.126,580422.026,27384018.152,0.982
ENSMUSG000000000587_Cav2,-428.237,-213.579,-211.092,3.566,0.059,0.074,False,16899.782,16390.57,33290.352,0.508
ENSMUSG000000000788_Klf6,-561.608,-264.171,-293.435,4.002,0.045,0.065,False,6.677,399.52,406.198,0.014
ENSMUSG0000000008517_Scmh1,-465.672,-225.663,-242.198,-2.19,0.139,0.154,False,42166.155,81643.71,123809.865,0.341
ENSMUSG000000000888_Cox5a,-642.045,-332.592,-474.533,-165.079,0.0,0.0,True,4.509,118.542,123.051,0.032
ENSMUSG000000000937_Tbx2,-461.705,-229.135,-237.049,-4.478,0.034,0.057,False,3.51,170.565,174.075,0.017
ENSMUSG000000001207_Ngfr,-507.524,-251.069,-234.133,22.322,0.0,0.0,True,13.348,355.702,369.05,0.027
